name	addr	size	len	scr
Units.dat - Human Init Action	0x662268	1	228	Simple Data
Units.dat - Max HP	0x662350	4	228	Simple Data
Units.dat - Addon Placement	0x6626E0	4	96	Simple Data
Units.dat - Building Dimensions	0x662860	4	228	Simple Data
"Units.dat - ""What"" Sound End"	0x662BF0	2	228	Simple Data
Units.dat - Seek Range	0x662DB8	1	228	Simple Data
Units.dat - Computer Init Action	0x662EA0	1	228	Simple Data
Units.dat - Portrait	0x662F88	2	228	Simple Data
Units.dat - Elevation Level	0x663150	1	228	Simple Data
Units.dat - Sight Range	0x663238	1	228	Simple Data
Units.dat - Attack Unit Order	0x663320	1	228	Simple Data
Units.dat - Build Score	0x663408	2	228	Simple Data
Units.dat - Armor Upgrade ID	0x6635D0	1	228	Simple Data
Units.dat - Ground Weapon	0x6636B8	1	228	Simple Data
Units.dat - Group Flags	0x6637A0	1	228	Simple Data
Units.dat - Mineral Cost	0x663888	2	228	Simple Data
Units.dat - Attack Move Order ID	0x663A50	1	228	Simple Data
"Units.dat - ""Pissed"" Sound Start"	0x663B38	2	106	Simple Data
"Units.dat - ""Yes"" Sound Start"	0x663C10	2	107	Simple Data
Units.dat - Supply Used	0x663CE8	1	228	Simple Data
Units.dat - Rank/Sublabel	0x663DD0	1	228	Simple Data
Units.dat - Kill Score	0x663EB8	2	228	Simple Data
Units.dat - Advanced Flags	0x664080	4	228	Simple Data
Units.dat - Transport Space Required	0x664410	1	228	Simple Data
Units.dat - Graphics (Flingy ID)	0x6644F8	1	228	Backed By Code
Units.dat - Max Hits (Ground)	0x6645E0	1	228	Simple Data
Units.dat - Supply Provided	0x6646C8	1	228	Simple Data
Units.dat - Has Shields	0x6647B0	1	228	Simple Data
Units.dat - Idle Order	0x664898	1	228	Simple Data
Units.dat - Infestation Unit	0x664980	2	96	Simple Data
Orders.dat - Unknown 4	0x664A40	1	189	Simple Data
Orders.dat - Use Weapon Targetting	0x664B00	1	189	Simple Data
Orders.dat - Unknown 12	0x664BC0	1	189	Simple Data
Orders.dat - Unknown 11	0x664C80	1	189	Simple Data
Orders.dat - Animation	0x664D40	1	189	Simple Data
Orders.dat - Energy Technology	0x664E00	1	189	Simple Data
Orders.dat - Highlight Button ID	0x664EC0	2	189	Simple Data
Orders.dat - Can Be Interrupted	0x665040	1	189	Simple Data
Orders.dat - Unknown 7	0x665100	1	189	Simple Data
Orders.dat - Unknown 9	0x6651C0	1	189	Simple Data
Orders.dat - Label ID	0x665280	2	189	Simple Data
Orders.dat - Obscured Order	0x665400	1	189	Simple Data
Orders.dat - Can Be Obstructed?	0x6654C0	1	189	Simple Data
Orders.dat - Dat Reqs Offset	0x665580	2	189	Simple Data
Orders.dat - Can Be Queued	0x665700	1	189	Simple Data
Orders.dat - Unknown 5	0x6657C0	1	189	Simple Data
Orders.dat - Targeting	0x665880	1	189	Simple Data
Orders.dat - Order is Secondary	0x665940	1	189	Simple Data
Orders.dat - Unknown 3	0x665A00	1	189	Simple Data
Sprites.dat - Selection Circle	0x665AC0	1	387	Read Only
Sprites.dat - Visible	0x665C48	1	517	Simple Data
Sprites.dat - HP Bar Length	0x665E50	1	387	Read Only
Sprites.dat - Selection Vertical Offset	0x665FD8	1	387	Read Only
Sprites.dat - Image Index	0x666160	2	517	Backed By Code
Sprites.dat - Unknown	0x666570	1	517	Simple Data
Images.dat - Landing Dust Overlay	0x666778	4	999	Read Only
Images.dat - Draw If Cloaked	0x667718	1	999	Simple Data
Images.dat - Special Overlay	0x667B00	4	999	Read Only
Images.dat - GRP File	0x668AA0	4	999	Read Only
Images.dat - Drawing Function (Remapping Table)	0x669A40	1	999	Simple Data
Images.dat - Remapping Table (Drawing Function)	0x669E28	1	999	Backed By Code
Images.dat - Damage Overlay	0x66A210	4	999	Read Only
Images.dat - Attack Overlay	0x66B1B0	4	999	Read Only
Images.dat - Clickable	0x66C150	1	999	Simple Data
Images.dat - Sheilds Overlay	0x66C538	4	999	Read Only
Images.dat - Use Full Iscript	0x66D4D8	1	999	Simple Data
Images.dat - Lift-off Dust Overlay	0x66D8C0	4	999	Read Only
Images.dat - Graphics Turns	0x66E860	1	999	Simple Data
Images.dat - Iscript ID	0x66EC48	4	999	Backed By Code
AIScript pointer	0x68C104	4	1	Backed By Code
BWScript pointer	0x68C108	4	1	Backed By Code
Send Message Type	0x68C144	4	1	Simple Data
Current Button Set	0x68C14C	4	1	Simple Data
TranWire.grp pointer	0x68C1F4	4	1	Backed By Code
GrpWire.grp Pointer	0x68C1FC	4	1	Backed By Code
Wirefram.grp Pointer	0x68C204	4	1	Backed By Code
Sfxdata.dat - minVolume	0x68C448	1	1144	
Sfxdata.dat - Flags	0x68C8C0	1	1144	
Sfxdata.dat - lengthAdjust	0x68CD38	2	1144	
Sfxdata.dat - Priority	0x68D628	1	1144	
Sfxdata.dat - Sound file	0x68DAA0	4	1144	
Flingy.dat - Movement Control	0x6C9858	1	209	Simple Data
Flingy.dat - Halt Distance	0x6C9930	4	209	Simple Data
Flingy.dat - Acceleration	0x6C9C78	2	209	Simple Data
Flingy.dat - Turn Radius	0x6C9E20	1	209	Simple Data
Flingy.dat - Top Speed	0x6C9EF8	4	209	Simple Data
Flingy.dat - Unused	0x6CA240	1	209	Simple Data
Flingy.dat - Sprite Index	0x6CA318	2	209	Simple Data
Displayed HP	0x6CA94D	4	1	
Unit being Produced	0x6CA9F0	4	1	Unsupported
Mouse Button State	0x6CDDC0	4	1	Simple Data
Mouse Coordinate X	0x6CDDC4	4	1	Simple Data
Mouse Coordinate Y	0x6CDDC8	4	1	Simple Data
Game Speed	0x6CDFD4	4	1	Backed By Code
Music Volume	0x6CDFE0	4	1	Backed By Code
Digital Volume	0x6CDFE4	4	1	Backed By Code
Creep Tile Backup Buffer	0x6D0C68	4	1	Unsupported
Tile Buffer Height	0x6D0C6C	4	1	Unsupported
Tile Function Pointers	0x6D0C70	4	4	Unsupported
Creep Overlay Buffer	0x6D0E80	4	1	Unsupported
Active Tile Buffer	0x6D0E84	4	1	Unsupported
Tile Buffer Width	0x6D0F08	4	1	Unsupported
Replay Header	0x6D0F30	633	1	Read Only
Replay Header - Is Broodwar	0x6D0F30	1	1	Read Only
Replay Header - Frame Count	0x6D0F31	4	1	Read Only
Replay Header - Campaign ID	0x6D0F35	2	1	Read Only
Replay Header - Command ID	0x6D0F37	1	1	Read Only
Replay Header - Rand Seed	0x6D0F38	4	1	Read Only
Replay Header - Player Bytes	0x6D0F3C	1	8	Read Only
Replay Header - Unknown_0	0x6D0F44	4	1	Read Only
Replay Header - 해당 플레이어 이름	0x6D0F48	25	1	Read Only
Replay Header - Game flags	0x6D0F60	4	1	Read Only
Replay Header - MapSize	0x6D0F64	2	2	Read Only
Replay Header - Active Player Count	0x6D0F68	1	1	Read Only
Replay Header - Available Slots	0x6D0F69	1	1	Read Only
Replay Header - Game Speed	0x6D0F6A	1	1	Read Only
Replay Header - Game State	0x6D0F6B	1	1	Read Only
Replay Header - Game Type	0x6D0F6C	1	1	Read Only
Replay Header - Unknown_1	0x6D0F6D	1	1	Read Only
Replay Header - Game Subtype	0x6D0F6E	2	1	Read Only
Replay Header - Seed (Unused)	0x6D0F70	4	1	Read Only
Replay Header - Tileset	0x6D0F74	2	1	Read Only
Replay Header - Autosaved	0x6D0F76	1	1	Read Only
Replay Header- Computer Player Count	0x6D0F77	1	1	Read Only
Replay Header - Game Name	0x6D0F78	1	25	Read Only
Replay Header - Map Name	0x6D0F91	1	24	Read Only
Replay Header - Game Type	0x6D0FB1	1	1	Read Only
Replay Header - Unknown	0x6D0FB2	1	1	Read Only
Replay Header - Subtype	0x6D0FB3	2	1	Read Only
Replay Header - Subtype display	0x6D0FB5	2	1	Read Only
Replay Header - Subtype Label	0x6D0FB7	2	1	Read Only
Replay Header - Victory Condition	0x6D0FB9	1	1	Read Only
Replay Header - Resource Type	0x6D0FBA	1	1	Read Only
Replay Header - Use Standard Units	0x6D0FBB	1	1	Read Only
Replay Header - Fog of War (Unused)	0x6D0FBC	1	1	Read Only
Replay Header - Starting Units	0x6D0FBD	1	1	Read Only
Replay Header - Use Fixed Positions	0x6D0FBE	1	1	Read Only
Replay Header - Usage Restriction Flags	0x6D0FBF	1	1	Read Only
Replay Header - Allies Allowed	0x6D0FC0	1	1	Read Only
Replay Header - Teams	0x6D0FC1	1	1	Read Only
Replay Header - Cheats	0x6D0FC2	1	1	Read Only
Replay Header - Tournament Mode	0x6D0FC3	1	1	Read Only
Replay Header - Victory Condition Value	0x6D0FC4	4	1	Read Only
Replay Header - Resources Value	0x6D0FC8	4	1	Read Only
Replay Header - Unused value	0x6D0FCC	4	1	Read Only
Replay Header - Extra	0x6D0FD0	1	1	Read Only
Replay Header - Player Entries	0x6D0FD1	36	12	Read Only
Replay Header - Player Colors	0x6D1181	4	8	Read Only
Replay Header - Player Force Data	0x6D11A1	1	8	Read Only
iscript.bin pointer	0x6D1200	4	1	Backed By Code
stat_txt.tbl pointer	0x6D1238	4	1	Backed By Code
Tile Flags Pointer	0x6D1260	4	1	Backed By Code
Cheat Flags	0x6D5A6C	4	1	Simple Data
Music ID	0x6D5BB0	4	1	
Minimap State	0x6D5BBE	4	1	
CV5 Pointer	0x6D5EC8	4	1	Backed By Code
Storm Graphics Palette	0x1505E670	4	256	Read Only
Battle.snp Join Channel	0x19046138	4	1	Simple Data
Battle.snp Join Channel	0x1904613C	4	1	Simple Data
